,City,float_value,id,label,type,percent_value,string_value,currency_dollar_value,int_value,url_value
7,halifax,1.0,TIME-TO-OPEN-BUSINESS-TELESCORE,Time to open a business [Teleport score],float,,,,,
0,halifax,0.5018,POPULATION-SIZE,Urban area population (millions),float,,,,,
1,halifax,8977.375,POPULATION-UA-CENTER-DENSITY,Population density in people/sq km in UA center.,float,,,,,
2,halifax,618.464385958508,POPULATION-UA-DENSITY,Population density in people/sq km over full UA as defined by bounding box.,float,,,,,
0,halifax,12.8,WEATHER-AV-DAY-LENGTH,Average day length (hours),float,,,,,
1,halifax,165.0,WEATHER-AV-NUMBER-RAINY-DAYS,Average number of rainy days per year,float,,,,,
2,halifax,,WEATHER-AVERAGE-HIGH,Average high temperature (Celsius),string,,10,,,
3,halifax,,WEATHER-AVERAGE-LOW,Average low temperature (Celsius),string,,1,,,
4,halifax,13.7,WEATHER-SUNSHINE-AMOUNT,Average daily solar radiation (Mj/m²),float,,,,,
5,halifax,,WEATHER-TYPE,Weather type,string,,Warm Summer Continental Climate,,,
0,halifax,0.4943,CONSUMER-PRICE-INDEX-TELESCORE,Inflation [Teleport score],float,,,,,
1,halifax,,COST-APPLES,A kilogram of Apples,currency_dollar,,,3.4,,
2,halifax,,COST-BREAD,Bread,currency_dollar,,,0.81,,
3,halifax,,COST-CAPPUCCINO,A Cappuccino,currency_dollar,,,3.1,,
4,halifax,,COST-CINEMA,Movie ticket,currency_dollar,,,10.0,,
5,halifax,,COST-FITNESS-CLUB,Monthly fitness club membership,currency_dollar,,,45.0,,
6,halifax,,COST-IMPORT-BEER,A beer,currency_dollar,,,2.5,,
7,halifax,,COST-PUBLIC-TRANSPORT,Monthly public transport,currency_dollar,,,60.0,,
8,halifax,,COST-RESTAURANT-MEAL,Lunch,currency_dollar,,,14.0,,
9,halifax,,COST-TAXI,5km taxi ride,currency_dollar,,,8.0,,
10,halifax,,RESTAURANT-PRICE-INDEX,Price of a meal at a restaurant,currency_dollar,,,67.54,,
0,halifax,0.4684,CULTURE-ART-GALLERIES-TELESCORE,Art galleries [Teleport score],float,,,,,
1,halifax,,CULTURE-ART-GALLERIES-VENUE-COUNT,Art galleries,int,,,,34.0,
2,halifax,0.4306,CULTURE-CINEMA-TELESCORE,Cinemas [Teleport score],float,,,,,
3,halifax,,CULTURE-CINEMAS-VENUE-COUNT,Cinemas,int,,,,13.0,
4,halifax,0.598,CULTURE-COMEDY-CLUBS-TELESCORE,Comedy clubs [Teleport score],float,,,,,
5,halifax,,CULTURE-COMEDY-CLUBS-VENUE-COUNT,Comedy clubs,int,,,,11.0,
6,halifax,0.4837,CULTURE-CONCERTS-TELESCORE,Concerts [Teleport score],float,,,,,
7,halifax,,CULTURE-CONCERTS-VENUE-COUNT,Concert venues,int,,,,53.0,
8,halifax,0.458,CULTURE-HISTORICAL-SITES-TELESCORE,Historical sites [Teleport score],float,,,,,
9,halifax,,CULTURE-HISTORICAL-SITES-VENUE-COUNT,Historical sites,int,,,,28.0,
10,halifax,0.3304,CULTURE-MUSEUMS-TELESCORE,Museums [Teleport score],float,,,,,
11,halifax,,CULTURE-MUSEUMS-VENUE-COUNT,Museums,int,,,,19.0,
12,halifax,0.4665,CULTURE-PERFORMING-ARTS-TELESCORE,Performing arts [Teleport score],float,,,,,
13,halifax,,CULTURE-PERFORMING-ARTS-VENUE-COUNT,Performing art venues,int,,,,48.0,
14,halifax,0.4465,CULTURE-SPORTS-TELESCORE,Sports [Teleport score],float,,,,,
15,halifax,,CULTURE-SPORTS-VENUE-COUNT,Sport venues,int,,,,16.0,
16,halifax,0.4658,CULTURE-ZOOS-TELESCORE,Zoos [Teleport score],float,,,,,
17,halifax,,CULTURE-ZOOS-VENUE-COUNT,Zoos,int,,,,5.0,
0,halifax,,CURRENCY-URBAN-AREA,Currency for urban area,string,,CAD,,,
1,halifax,1.2676461121,CURRENCY-URBAN-AREA-EXCHANGE-RATE,Currency exchange rate per US dollar for urban area,float,,,,,
2,halifax,,GDP-GROWTH-RATE,GDP growth rate,percent,0.02532,,,,
3,halifax,0.4499,GDP-GROWTH-RATE-TELESCORE,GDP growth rate [Teleport score],float,,,,,
4,halifax,,GDP-PER-CAPITA,GDP per capita,currency_dollar,,,44843.442,,
5,halifax,0.7182,GDP-PER-CAPITA-TELESCORE,GDP per capita [Teleport score],float,,,,,
0,halifax,,PISA-DETAIL-HAPPINESS,Percent of happy students,percent,0.7924683349556274,,,,
1,halifax,,PISA-DETAIL-MATH-HIGH-PERFORMERS,Percent of top performers in PISA math test,percent,0.16395889881368156,,,,
2,halifax,,PISA-DETAIL-MATH-LOW-PERFORMERS,Percent of low performers in PISA math test,percent,0.13828946464512126,,,,
3,halifax,515.4297028079022,PISA-DETAIL-MATH-MEAN-SCORES,Country mean scores in PISA math test,float,,,,,
4,halifax,,PISA-DETAIL-READING-HIGH-PERFORMERS,Percent of top performers in PISA reading test,percent,0.12856778143607905,,,,
5,halifax,,PISA-DETAIL-READING-LOW-PERFORMERS,Percent of low performers in PISA reading test,percent,0.10894788089799351,,,,
6,halifax,523.1240029666766,PISA-DETAIL-READING-MEAN-SCORES,Country mean scores in PISA reading test,float,,,,,
7,halifax,,PISA-DETAIL-SCIENCE-HIGH-PERFORMERS,Percent of top performers in PISA science test,percent,0.11311272404470786,,,,
8,halifax,,PISA-DETAIL-SCIENCE-LOW-PERFORMERS,Percent of low performers in PISA science test,percent,0.10422230388408599,,,,
9,halifax,525.4412921426247,PISA-DETAIL-SCIENCE-MEAN-SCORES,Country mean scores in PISA science test,float,,,,,
10,halifax,,PISA-MATHS-RANKING,PISA math ranking (high school),int,,,,9.0,
11,halifax,,PISA-RANKING,PISA ranking,int,,,,5.0,
12,halifax,0.9665,PISA-RANKING-TELESCORE,PISA ranking (high school) [Teleport score],float,,,,,
